"project","year","ship","trip","haul","time1","time2","lat.l","lon.l","lat.v","lon.v","latN1","lonW1","latN2","lonW2","depth1","depth2","stationType","val","speed","doors","dist","sweptarea","bottomT","gearID","stratum1","stratum2","fixpos","id","id.2","idp","depth","Stratum2","npos","wpos","div","id_str","stratum"
"GHLW",2019,"HM",4,1,"2019-08-01","2019-08-01 12:13:00",63.2955100059509,52.1543799972534,63.290060005188,52.1861400032043,63.4925166765849,52.2572999954224,63.48343334198,52.3102333386739,450,479,"B","b",3,120.060000610352,2.81289274893454,0.0764277589365741,NA,"ALF3","1D","0401-0600","HZ024","2019_1","2019_4_HM_1","2019_GHLW",464.5,6,63.4879750092825,52.2837666670482,"1D","1D_6",25
"GHLW",2019,"HM",4,2,"2019-08-01","2019-08-01 18:33:00",63.0628000020981,54.0519500017166,63.0554099988937,54.0247600007057,63.1046666701635,54.0865833361944,63.0923499981562,54.0412666678429,1405,1422,"B","A",2.91999998092651,136.020001220703,2.65783405144947,0.0782382361797782,3.32999992370605,"ALF3","1D","1401-1500","HR016","2019_2","2019_4_HM_2","2019_GHLW",1413.5,16,63.0985083341599,54.0639250020186,"1D","1D_16",30
"GHLW",2019,"HM",4,4,"2019-08-01","2019-08-01 23:59:00",63.1235999965668,54.2096699905396,63.1093700027466,54.1993000030518,63.205999994278,54.3494499842326,63.182283337911,54.3321666717529,1276,1293,"B","A",3.01999998092651,134.6,2.77435106260142,0.081108708185365,3.34999990463257,"ALF3","1D","1201-1400","HS015","2019_4","2019_4_HM_4","2019_GHLW",1284.5,14,63.1941416660945,54.3408083279927,"1D","1D_14",29
"GHLW",2019,"HM",4,6,"2019-08-02","2019-08-02 04:37:00",63.2120000076294,54.0286599993706,63.1994799995422,54.0160199999809,63.353333346049,54.0477666656176,63.3324666659037,54.0266999999682,1079,1081,"B","A",2.78000001907349,105.179998779297,2.54548375732514,0.0637836115369664,3.34999990463257,"ALF3","1D","1001-1200","HT016","2019_6","2019_4_HM_6","2019_GHLW",1080,12,63.3429000059763,54.0372333327929,"1D","1D_12",28
"GHLW",2019,"HM",4,7,"2019-08-02","2019-08-02 07:27:00",63.2320199966431,54.2213500022888,63.2179299926758,54.2204800033569,63.3866999944051,54.3689166704814,63.3632166544596,54.3674666722616,1138,1145,"B","A",2.86000003814697,127,2.61045994620147,0.0735001102452485,3.39000010490417,"ALF3","1D","1001-1200","HV015","2019_7","2019_4_HM_7","2019_GHLW",1141.5,12,63.3749583244323,54.3681916713715,"1D","1D_12",28
"GHLW",2019,"HM",4,8,"2019-08-02","2019-08-02 10:25:00",63.3442200088501,54.2222400093079,63.3312300109863,54.2153000068665,63.5737000147502,54.3704000155131,63.5520500183105,54.3588333447774,1086,1088,"B","A",2.64000000953674,130.839999389648,2.47268889482517,0.0709693361089601,3.35999989509583,"ALF3","1D","1001-1200","HX015","2019_8","2019_4_HM_8","2019_GHLW",1087,12,63.5628750165304,54.3646166801452,"1D","1D_12",28
"GHLW",2019,"HM",4,9,"2019-08-02","2019-08-02 13:47:00",63.3215599822998,54.5706499862671,63.3070400047302,54.568510017395,63.535933303833,54.9510833104451,63.511733341217,54.9475166956584,1107,1115,"B","A",2.94000005722046,135.6,2.69495170440771,0.0791701352107261,3.39000010490417,"ALF3","1D","1001-1200","HX013","2019_9","2019_4_HM_9","2019_GHLW",1111,12,63.523833322525,54.9493000030517,"1D","1D_12",28
"GHLW",2019,"HM",4,10,"2019-08-02","2019-08-02 16:32:00",63.1902599906921,54.5734099960327,63.1943499946594,55.0027900001407,63.3170999844869,54.9556833267212,63.3239166577657,55.0046500002344,1216,1229,"B","A",2.84000000953674,124.4,2.55776318113562,0.0710720539615792,3.33999991416931,"ALF3","1D","1201-1400","HT013","2019_10","2019_4_HM_10","2019_GHLW",1222.5,14,63.3205083211263,54.9801666634778,"1D","1D_14",29
"GHLW",2019,"HM",4,11,"2019-08-02","2019-08-02 19:01:00",63.1297799968719,55.0155400002003,63.1368500041962,55.0078299999237,63.2162999947866,55.0259000003338,63.2280833403269,55.0130499998728,1332,1351,"B","A",2.96666661898295,119,1.45892795227453,0.0394202332704578,3.34999990463257,"ALF3","1D","1201-1400","HS012","2019_11","2019_4_HM_11","2019_GHLW",1341.5,14,63.2221916675567,55.0194750001033,"1D","1D_14",29
"GHLW",2019,"HM",4,13,"2019-08-02","2019-08-02 23:17:00",63.2471999931335,55.222439994812,63.2473600006103,55.1891699981689,63.4119999885559,55.3707333246867,63.4122666676839,55.3152833302816,1219,1227,"B","A",3,118.2,2.75792890105058,0.0742059381832272,3.33999991416931,"ALF3","1D","1201-1400","HV011","2019_13","2019_4_HM_13","2019_GHLW",1223,14,63.4121333281199,55.3430083274841,"1D","1D_14",29
"GHLW",2019,"HM",4,14,"2019-08-03","2019-08-03 02:07:00",63.3502600097656,55.2260799980164,63.3352899932861,55.23,63.5837666829427,55.3767999966939,63.5588166554769,55.3833333333333,1193,1209,"B","A",2.98000001907349,123,2.79143091937038,0.0770099962035902,3.41000008583069,"ALF3","1D","1201-1400","HX011","2019_14","2019_4_HM_14","2019_GHLW",1201,14,63.5712916692098,55.3800666650136,"1D","1D_14",29
