stratification,stratum,name,lat,lon,order
ghl_strata,1,GreN400,65.99751819652244,-31.345833333333328,543
ghl_strata,1,GreN400,65.99863633815448,-31.337499999999988,544
ghl_strata,1,GreN400,66.0000283161339,-31.32916666666666,545
ghl_strata,1,GreN400,66.00416666666666,-31.322518196522438,546
ghl_strata,1,GreN400,66.00694444444443,-31.320833333333326,547
ghl_strata,1,GreN400,66.01041666666666,-31.31249999999999,548
ghl_strata,1,GreN400,66.00836164946722,-31.30416666666666,549
ghl_strata,1,GreN400,66.0125,-31.29751819652243,550
ghl_strata,1,GreN400,66.01666666666668,-31.295833333333327,551
ghl_strata,1,GreN400,66.01609919378059,-31.287499999999987,552
ghl_strata,1,GreN400,66.02083333333334,-31.28085152985577,553
ghl_strata,1,GreN400,66.02251819652244,-31.27916666666666,554
ghl_strata,1,GreN400,66.0236363381545,-31.270833333333318,555
ghl_strata,1,GreN400,66.02443252711392,-31.26249999999999,556
ghl_strata,1,GreN400,66.02916666666667,-31.25585152985577,557
ghl_strata,1,GreN400,66.03085152985578,-31.25416666666666,558
ghl_strata,1,GreN400,66.0375,-31.247518196522428,559
ghl_strata,1,GreN400,66.04414847014421,-31.25416666666666,560
ghl_strata,1,GreN400,66.04583333333333,-31.25585152985577,561
ghl_strata,1,GreN400,66.05056747288607,-31.26249999999999,562
ghl_strata,1,GreN400,66.0513636618455,-31.270833333333318,563
ghl_strata,1,GreN400,66.05248180347756,-31.27916666666666,564
ghl_strata,1,GreN400,66.05416666666666,-31.28085152985577,565
ghl_strata,1,GreN400,66.05969699517884,-31.287499999999987,566
ghl_strata,1,GreN400,66.06081513681087,-31.295833333333327,567
ghl_strata,1,GreN400,66.06081513681087,-31.30416666666666,568
ghl_strata,1,GreN400,66.06081513681087,-31.31249999999999,569
ghl_strata,1,GreN400,66.0625,-31.314184863189098,570
ghl_strata,1,GreN400,66.06914847014421,-31.320833333333326,571
ghl_strata,1,GreN400,66.06914847014421,-31.32916666666666,572
ghl_strata,1,GreN400,66.06914847014421,-31.337499999999988,573
ghl_strata,1,GreN400,66.06914847014421,-31.345833333333328,574
ghl_strata,1,GreN400,66.06914847014421,-31.35416666666666,575
ghl_strata,1,GreN400,66.06914847014421,-31.36249999999999,576
ghl_strata,1,GreN400,66.07083333333334,-31.3641848631891,577
ghl_strata,1,GreN400,66.07748180347754,-31.370833333333326,578
ghl_strata,1,GreN400,66.07748180347754,-31.37916666666666,579
ghl_strata,1,GreN400,66.07916666666667,-31.38085152985577,580
ghl_strata,1,GreN400,66.08749999999999,-31.38085152985577,581
ghl_strata,1,GreN400,66.08918486318912,-31.37916666666666,582
ghl_strata,1,GreN400,66.08918486318912,-31.370833333333326,583
ghl_strata,1,GreN400,66.09583333333333,-31.3641848631891,584
ghl_strata,1,GreN400,66.09999999999998,-31.36249999999999,585
ghl_strata,1,GreN400,66.09751819652243,-31.35416666666666,586
ghl_strata,1,GreN400,66.10416666666666,-31.347518196522437,587
ghl_strata,1,GreN400,66.10833333333333,-31.345833333333328,588
ghl_strata,1,GreN400,66.10585152985578,-31.337499999999988,589
ghl_strata,1,GreN400,66.11249999999998,-31.33085152985577,590
ghl_strata,1,GreN400,66.1141848631891,-31.32916666666666,591
ghl_strata,1,GreN400,66.12083333333332,-31.322518196522438,592
ghl_strata,1,GreN400,66.12251819652244,-31.320833333333326,593
ghl_strata,1,GreN400,66.12916666666666,-31.314184863189098,594
ghl_strata,1,GreN400,66.13085152985576,-31.31249999999999,595
ghl_strata,1,GreN400,66.1375,-31.30585152985577,596
ghl_strata,1,GreN400,66.14166666666668,-31.30416666666666,597
ghl_strata,1,GreN400,66.14305555555556,-31.295833333333327,598
ghl_strata,1,GreN400,66.14109919378059,-31.287499999999987,599
ghl_strata,1,GreN400,66.14583333333334,-31.28196967148782,600
ghl_strata,1,GreN400,66.1486363381545,-31.27916666666666,601
ghl_strata,1,GreN400,66.15416666666667,-31.272518196522427,602
ghl_strata,1,GreN400,66.15585152985578,-31.270833333333318,603
ghl_strata,1,GreN400,66.1625,-31.26530300482116,604
ghl_strata,1,GreN400,66.17083333333333,-31.2641848631891,605
ghl_strata,1,GreN400,66.17251819652243,-31.26249999999999,606
ghl_strata,1,GreN400,66.17916666666666,-31.25585152985577,607
ghl_strata,1,GreN400,66.1875,-31.25585152985577,608
ghl_strata,1,GreN400,66.18918486318911,-31.25416666666666,609
ghl_strata,1,GreN400,66.19583333333334,-31.247518196522428,610
ghl_strata,1,GreN400,66.20416666666667,-31.247518196522428,611
ghl_strata,1,GreN400,66.2108151368109,-31.25416666666666,612
ghl_strata,1,GreN400,66.21249999999999,-31.25585152985577,613
ghl_strata,1,GreN400,66.2191484701442,-31.26249999999999,614
ghl_strata,1,GreN400,66.22083333333333,-31.2641848631891,615
ghl_strata,1,GreN400,66.22748180347754,-31.270833333333318,616
ghl_strata,1,GreN400,66.22916666666666,-31.272518196522427,617
ghl_strata,1,GreN400,66.23581513681088,-31.27916666666666,618
ghl_strata,1,GreN400,66.23749999999998,-31.283333333333317,619
ghl_strata,1,GreN400,66.2391848631891,-31.27916666666666,620
ghl_strata,1,GreN400,66.24583333333332,-31.272518196522427,621
ghl_strata,1,GreN400,66.25416666666666,-31.272518196522427,622
ghl_strata,1,GreN400,66.26081513681089,-31.27916666666666,623
ghl_strata,1,GreN400,66.2625,-31.283333333333317,624
ghl_strata,1,GreN400,66.27083333333334,-31.28085152985577,625
ghl_strata,1,GreN400,66.27916666666667,-31.28085152985577,626
