"Region","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"EG",NA,NA,13492.8286597348,11061.6871747362,20080.0936121722,NA,10962.3122215066,15655.1459661649,13765.6373432057,9595.34792229287,13201.7273475473,6981.00478487604,5333.21648770948,3994.82053763152,3857.44124480993,4682.49509912643,4457.09095725183,2491.85593083067,3947.78860773172,5733.49027989484,4866.18126680109,1949.47241978468,NA,NA
"ICE",20574.6812791353,30067.4780149255,31283.5219237961,32636.3486742002,27857.7007818799,35070.9956995941,27425.8656052747,12301.4935162066,9626.26212156436,17915.6851142882,13632.9554562749,18591.2796928658,23749.5400603834,40848.9882939161,28821.3231535266,NA,37913.6796731268,42021.080986077,29678.3413177502,28628.8744837604,28527.987188471,28132.4424329052,19742.1390973476,15369.079540232
"WestGreenland",NA,NA,NA,164723.382006221,NA,212363.134957638,NA,NA,183397.710179205,NA,NA,NA,194648.022968614,NA,167668.56540997,NA,183941.490652063,NA,151324.108044185,177648.367072089,228323.230386238,149798.032248564,NA,145495.38987117
"Norway_slope",68890.386175,67821.263701,60053.977769,67571.481805,55186.970431,66942.898096,70070.522415,74960.529532,68411.366435,67189.930244,59886.589443,90262.004624,80851.923876,93763.868161,NA,67063.775246,NA,55901.60546,NA,69120.535042,NA,49192.735965,NA,43055.713915
