"Region","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"EG",NA,NA,23341.80206,16721.89572,25219.57507,NA,16788.56083,16729.39106,16242.81803,13554.7287,23289.85126,11952.72862,10579.91239,7543.00429,9035.600434,8782.624672,9480.391728,5802.994272,9857.379299,11284.49392,9428.757468,3703.275653,NA,NA
"ICE",37111.8561825194,54685.7299913633,54399.2212510949,56548.4137718499,49853.0121461217,65372.7938573615,52490.8928428114,25330.9376167039,16646.0271475674,27555.6459661628,20303.1263245432,26042.567830468,33224.1992356518,53989.9161139276,37520.4848750968,NA,52824.8026263173,58428.7591727143,48513.6462419831,50168.3256705272,50955.6598178129,54689.5702235603,34839.4413603763,25719.0408733053
"WGR",NA,NA,NA,124432.369372728,NA,157192.591092108,NA,NA,151009.005337886,NA,NA,NA,161800.083825602,NA,148381.570167171,NA,171724.620016341,NA,150689.887571761,183719.166343946,212467.101883037,137708.915547831,NA,163524.277449415
"Norway_slope",81799,82345,82717,104194,80587,94785,97607,109489,103620,86944,81839,88257,84909,108876,NA,84968,NA,63185,NA,78013,NA,59382,NA,46967
