"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_191.rds",3,1,"NAO",3,3,3,14,327.627570056313,140.195449969723,6
"run_44.rds",2,2,"No covariates",2,1,3,10,328.826042755265,141.393922668675,8
"run_169.rds",3,1,"NAO",6,3,3,17,330.499890585406,143.067770498816,4
"run_33.rds",3,1,"No covariates",6,1,3,14,331.73847478587,144.30635469928,6
"run_11.rds",3,1,"NAO",3,3,3,13,332.50738152779,145.0752614412,2
"run_124.rds",2,3,"Catch",3,1,4,15,333.29905866882,145.86693858223,8
"run_143.rds",4,1,"Catch",4,1,4,16,334.084327505429,146.652207418839,9
"run_29.rds",3,1,"NAO",6,1,3,14,334.592895174698,147.160775088108,2
"run_246.rds",3,1,"NAO",3,1,3,12,337.293374996266,149.861254909676,6
"run_205.rds",3,1,"NAO",1,3,3,12,340.077916578804,152.645796492214,4
"run_123.rds",2,3,"Catch",3,1,4,15,340.186140772008,152.754020685418,8
"run_184.rds",3,1,NA,3,3,3,14,340.25651071318,152.82439062659,2
"run_227.rds",3,1,"NAO",6,1,3,15,340.622006915942,153.189886829352,6
"run_183.rds",3,1,NA,3,3,3,14,341.75638525015,154.32426516356,2
"run_166.rds",3,1,NA,6,3,3,17,351.154264411623,163.722144325033,2
"run_90.rds",4,1,"Catch",4,4,4,19,352.063499449514,164.631379362924,9
"run_2.rds",3,1,"NAO",6,3,3,16,352.227948575017,164.795828488427,2
"run_245.rds",3,1,"NAO",3,1,3,12,355.530204510297,168.098084423707,6
"run_89.rds",4,1,"Catch",4,4,4,19,355.544418943877,168.112298857287,9
"run_120.rds",3,2,"Catch",6,1,4,18,360.730511509661,173.298391423071,6
"run_115.rds",3,2,"Catch",6,1,4,18,361.777615954291,174.345495867701,4
"run_214.rds",2,2,"NAO",1,2,3,11,361.806497542437,174.374377455847,8
"run_17.rds",2,2,"No covariates",2,2,3,11,361.948572015154,174.516451928564,8
"run_142.rds",2,3,"Catch",2,1,4,14,363.245573986656,175.813453900066,8
"run_141.rds",2,3,"Catch",2,1,4,14,363.947137439074,176.515017352484,8
"run_13.rds",3,1,"No covariates",3,3,3,13,368.563701755659,181.131581669069,4
"run_133.rds",3,2,"Catch",3,1,4,15,368.690609415801,181.258489329211,4
"run_165.rds",3,1,NA,6,3,3,17,368.760405022277,181.328284935687,2
"run_79.rds",3,2,"Catch",3,3,4,17,385.577029862012,198.144909775422,4
"run_61.rds",3,2,"Catch",6,3,4,20,387.044485083012,199.612364996422,4
"run_26.rds",2,2,"No covariates",1,2,3,10,390.000999366424,202.568879279834,8
"run_119.rds",3,2,"Catch",6,1,4,18,398.39123662335,210.95911653676,6
"run_84.rds",3,2,"Catch",3,3,4,17,401.6576109981,214.22549091151,6
"run_210.rds",3,1,"NAO",1,3,3,12,403.404231855557,215.972111768967,6
"run_192.rds",3,1,"NAO",3,3,3,14,404.160359089473,216.728239002883,6
"run_45.rds",4,0,"No covariates",4,1,3,12,404.905921189127,217.473801102537,9
"run_213.rds",2,2,"NAO",1,2,3,11,412.414014820605,224.981894734015,8
"run_249.rds",2,2,"NAO",2,1,3,11,414.508423440101,227.076303353511,8
"run_4.rds",3,1,"No covariates",6,3,3,16,414.550622974879,227.118502888289,4
"run_22.rds",3,1,"No covariates",1,3,3,11,415.115806198864,227.683686112274,4
"run_66.rds",3,2,"Catch",6,3,4,20,417.725194904225,230.293074817635,6
"run_228.rds",3,1,"NAO",6,1,3,15,421.625487660306,234.193367573716,6
"run_6.rds",3,1,"No covariates",6,3,3,16,432.566293752885,245.134173666295,6
"run_216.rds",4,0,"NAO",1,4,3,13,432.936494918456,245.504374831866,9
"run_223.rds",3,1,"NAO",6,1,3,15,434.005815788046,246.573695701456,4
"run_125.rds",4,1,"Catch",10,1,4,22,434.730944055946,247.298823969356,9
"run_209.rds",3,1,"NAO",1,3,3,12,438.875003975207,251.442883888617,6
"run_224.rds",3,1,"NAO",6,1,3,15,439.889679101343,252.457559014753,4
"run_18.rds",4,0,"No covariates",4,4,3,15,441.172989423206,253.740869336616,9
"run_126.rds",4,1,"Catch",10,1,4,22,441.78620108282,254.35408099623,9
"run_251.rds",4,0,"NAO",4,1,3,13,448.020080287475,260.587960200885,9
"run_30.rds",3,1,"No covariates",6,1,3,14,450.273145137311,262.841025050721,3
"run_195.rds",2,2,"NAO",2,2,3,12,450.866919537341,263.434799450751,8
"run_198.rds",4,0,"NAO",4,4,3,16,453.893952590128,266.461832503538,9
"run_221.rds",3,1,"NAO",6,1,3,15,454.351016407213,266.918896320623,3
"run_65.rds",3,2,"Catch",6,3,4,20,474.392614180843,286.960494094253,6
"run_83.rds",3,2,"Catch",3,3,4,17,479.354848054578,291.922727967988,6
"run_31.rds",3,1,"No covariates",6,1,3,14,481.835215896791,294.403095810201,4
"run_241.rds",3,1,"NAO",3,1,3,12,485.199997011092,297.767876924502,4
"run_197.rds",4,0,"NAO",4,4,3,16,497.555635263225,310.123515176635,9
"run_71.rds",4,1,"Catch",10,4,4,25,516.97490115348,329.54278106689,9
"run_187.rds",3,1,"NAO",3,3,3,14,520.387451595391,332.955331508801,4
"run_24.rds",3,1,"No covariates",1,3,3,11,524.183476637102,336.751356550512,6
"run_242.rds",3,1,"NAO",3,1,3,12,525.411617765901,337.979497679311,4
