"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_121.rds",2,3,5,3,1,4,15,303.375545652858,103.818716005072,7
"run_40.rds",3,1,1,3,1,3,11,304.494809952556,104.93798030477,4
"run_247.rds",2,2,2,2,1,3,11,304.706232369455,105.149402721669,7
"run_178.rds",2,2,2,3,2,3,13,309.578515747443,110.021686099657,8
"run_89.rds",4,1,5,4,4,4,19,313.512847223698,113.956017575912,9
"run_192.rds",3,1,2,3,3,3,14,314.404974846709,114.848145198923,6
"run_184.rds",3,1,3,3,3,3,14,315.737461914808,116.180632267022,2
"run_6.rds",3,1,1,6,3,3,16,318.248394566052,118.691564918266,6
"run_219.rds",3,1,3,6,1,3,15,319.063906294724,119.507076646938,2
"run_227.rds",3,1,2,6,1,3,15,319.953109283701,120.396279635915,6
"run_165.rds",3,1,3,6,3,3,17,330.928375564608,131.371545916822,2
"run_250.rds",2,2,2,2,1,3,11,331.5554515104,131.998621862614,8
"run_195.rds",2,2,2,2,2,3,12,336.209407278202,136.652577630416,8
"run_220.rds",3,1,3,6,1,3,15,337.454609056104,137.897779408318,2
"run_11.rds",3,1,2,3,3,3,13,346.04352814841,146.486698500624,2
"run_44.rds",2,2,1,2,1,3,10,348.311498410354,148.754668762568,8
"run_8.rds",2,2,1,3,2,3,12,349.142643056541,149.585813408755,8
"run_228.rds",3,1,2,6,1,3,15,352.716797649854,153.159968002068,6
"run_183.rds",3,1,3,3,3,3,14,356.193834790488,156.637005142702,2
"run_139.rds",2,3,5,2,1,4,14,356.682921896703,157.126092248917,7
"run_31.rds",3,1,1,6,1,3,14,357.446300814685,157.889471166899,4
"run_90.rds",4,1,5,4,4,4,19,357.964364636517,158.407534988731,9
"run_134.rds",3,2,5,3,1,4,15,359.301939131962,159.745109484176,4
"run_174.rds",3,1,2,6,3,3,17,362.421847148073,162.865017500287,6
"run_141.rds",2,3,5,2,1,4,14,365.627713637015,166.070883989229,8
"run_251.rds",4,0,2,4,1,3,13,367.284315054742,167.727485406956,9
"run_223.rds",3,1,2,6,1,3,15,369.748854361669,170.192024713883,4
"run_241.rds",3,1,2,3,1,3,12,369.924079157278,170.367249509492,4
"run_196.rds",2,2,2,2,2,3,12,372.922054910197,173.365225262411,8
"run_133.rds",3,2,5,3,1,4,15,374.60489410011,175.048064452324,4
"run_115.rds",3,2,5,6,1,4,18,379.608625855745,180.051796207959,4
"run_173.rds",3,1,2,6,3,3,17,381.739043273637,182.182213625851,6
"run_114.rds",3,2,5,6,1,4,18,383.413080251045,183.856250603259,3
"run_140.rds",2,3,5,2,1,4,14,383.578968414826,184.02213876704,7
"run_13.rds",3,1,1,3,3,3,13,390.917675090864,191.360845443078,4
"run_166.rds",3,1,3,6,3,3,17,397.850113499468,198.293283851682,2
"run_122.rds",2,3,5,3,1,4,15,398.783189696285,199.226360048499,7
"run_123.rds",2,3,5,3,1,4,15,403.581947154739,204.025117506953,8
"run_242.rds",3,1,2,3,1,3,12,403.869633772032,204.312804124246,4
"run_61.rds",3,2,5,6,3,4,20,411.515549251917,211.958719604131,4
"run_187.rds",3,1,2,3,3,3,14,414.250759301463,214.693929653677,4
"run_18.rds",4,0,1,4,4,3,15,414.374375793509,214.817546145723,9
"run_2.rds",3,1,2,6,3,3,16,417.373845399818,217.817015752032,2
"run_84.rds",3,2,5,3,3,4,17,421.115630700782,221.558801052996,6
"run_119.rds",3,2,5,6,1,4,18,421.266755720624,221.709926072838,6
"run_65.rds",3,2,5,6,3,4,20,427.302520355983,227.745690708197,6
"run_22.rds",3,1,1,1,3,3,11,432.648888956731,233.092059308945,4
"run_198.rds",4,0,2,4,4,3,16,436.355139861531,236.798310213745,9
"run_224.rds",3,1,2,6,1,3,15,447.941694187477,248.384864539691,4
"run_80.rds",3,2,5,3,3,4,17,448.497888408222,248.941058760436,4
"run_30.rds",3,1,1,6,1,3,14,453.035369773832,253.478540126046,3
"run_161.rds",4,1,5,1,1,4,13,457.920360016427,258.363530368641,9
"run_215.rds",4,0,2,1,4,3,13,457.97508496688,258.418255319094,9
"run_83.rds",3,2,5,3,3,4,17,464.063870229469,264.507040581683,6
"run_4.rds",3,1,1,6,3,3,16,466.579356394524,267.022526746738,4
"run_162.rds",4,1,5,1,1,4,13,468.592239505157,269.035409857371,9
"run_87.rds",2,3,5,2,2,4,15,470.503146098184,270.946316450398,8
"run_188.rds",3,1,2,3,3,3,14,471.061093983133,271.504264335347,4
"run_120.rds",3,2,5,6,1,4,18,475.56307386448,276.006244216694,6
"run_222.rds",3,1,2,6,1,3,15,490.144515183673,290.587685535887,3
"run_221.rds",3,1,2,6,1,3,15,490.422679722391,290.865850074605,3
"run_197.rds",4,0,2,4,4,3,16,500.012081657078,300.455252009292,9
"run_116.rds",3,2,5,6,1,4,18,501.221822436479,301.664992788693,4
"run_3.rds",3,1,1,6,3,3,16,502.328822605558,302.771992957772,3
"run_62.rds",3,2,5,6,3,4,20,508.262732527932,308.705902880146,4
"run_66.rds",3,2,5,6,3,4,20,528.100401569923,328.543571922137,6
"run_79.rds",3,2,5,3,3,4,17,534.641056296554,335.084226648768,4
"run_168.rds",3,1,2,6,3,3,17,547.346764842936,347.78993519515,3
"run_69.rds",2,3,5,3,2,4,16,550.164208335829,350.607378688043,8
"run_36.rds",4,0,1,10,1,3,18,561.686382492183,362.129552844397,9
"run_169.rds",3,1,2,6,3,3,17,566.193194157276,366.63636450949,4
"run_216.rds",4,0,2,1,4,3,13,568.540644185311,368.983814537525,9
"run_170.rds",3,1,2,6,3,3,17,589.556769330869,389.999939683083,4
"run_167.rds",3,1,2,6,3,3,17,598.27690897625,398.720079328464,3
"run_27.rds",4,0,1,1,4,3,12,629.898523560245,430.341693912459,9
"run_234.rds",4,0,2,10,1,3,19,807.396204646011,607.839374998225,9
"run_233.rds",4,0,2,10,1,3,19,809.471342163383,609.914512515597,9
"run_9.rds",4,0,1,10,4,3,21,932.409988262789,732.853158615003,9
"run_180.rds",4,0,2,10,4,3,22,968.213690527689,768.656860879903,9
"run_126.rds",4,1,5,10,1,4,22,1115.92247990256,916.365650254774,9
"run_71.rds",4,1,5,10,4,4,25,1208.85197803157,1009.29514838378,9
"run_179.rds",4,0,2,10,4,3,22,1372.43712827344,1172.88029862565,9
"run_125.rds",4,1,5,10,1,4,22,1398.77528597828,1199.21845633049,9
"run_72.rds",4,1,5,10,4,4,25,2099.07358937396,1899.51675972617,9
"run_113.rds",3,2,5,6,1,4,18,3406.78634916631,3207.22951951852,3
