NAO
-1.01
-0.18
0.25
0.04
-0.04
-0.45
-0.04
-0.3
0.01
-0.26
-0.18
-0.38
-0.68
-0.38
-2.35
0.46
-0.63
0.59
0.1
1.16
0.39
0.57
0.72
-0.03
