"year","N"
1996,0
1997,0
1998,13492.8286597348
1999,11061.6871747362
2000,20080.0936121722
2001,0
2002,10962.3122215066
2003,15655.1459661649
2004,13765.6373432057
2005,9595.34792229287
2006,13201.7273475473
2007,6981.00478487604
2008,5333.21648770948
2009,3994.82053763152
2010,3857.44124480993
2011,4682.49509912643
2012,4457.09095725183
2013,2491.85593083067
2014,3947.78860773172
2015,5733.49027989484
2016,4866.18126680109
2017,1949.47241978468
2018,0
2019,0
