"year","B","Region"
1999,124432.369372728,"WGR"
2001,157192.591092108,"WGR"
2004,151009.005337886,"WGR"
2008,161800.083825602,"WGR"
2010,148381.570167171,"WGR"
2012,171724.620016341,"WGR"
2014,150689.887571761,"WGR"
2015,183719.166343946,"WGR"
2016,212467.101883037,"WGR"
2017,137708.915547831,"WGR"
2019,163524.277449415,"WGR"
1996,0,"WGR"
1997,0,"WGR"
1998,0,"WGR"
2000,0,"WGR"
2002,0,"WGR"
2003,0,"WGR"
2005,0,"WGR"
2006,0,"WGR"
2007,0,"WGR"
2009,0,"WGR"
2011,0,"WGR"
2013,0,"WGR"
2018,0,"WGR"
